title,url,created_at
"One person killed, another one injured in Russian shelling of Donetsk region",https://www.ukrinform.net/rubric-ato/3645677-one-person-killed-another-one-injured-in-russian-shelling-of-donetsk-region.html,2023-01-03 10:19:16.980960
"Putin Orders Screening of Ukraine Assault Documentaries\t\t",https://www.themoscowtimes.com/2023/01/03/putin-orders-screening-of-ukraine-assault-documentaries-a79869,2023-01-04 10:19:44.527355
Russians suffer significant losses in Kherson region - nearly 500 casualties,https://www.ukrinform.net/rubric-ato/3645566-russians-suffer-significant-losses-in-kherson-region-nearly-500-casualties.html,2023-01-03 10:19:16.981944
"Russia produces up to 20 Kalibr, about 30 Kh-101 missiles per month",https://www.ukrinform.net/rubric-ato/3646279-russia-produces-up-to-20-kalibr-about-30-kh101-missiles-per-month.html,2023-01-04 10:19:37.690279
"Frontline developments, energy: Zelensky, Norway’s PM speak over phone",https://www.ukrinform.net/rubric-polytics/3645989-frontline-developments-energy-zelensky-norways-pm-speak-over-phone.html,2023-01-03 22:19:26.356297
"Russia's New Year Raids on Ukraine Kill 4, Wound Dozens\t\t",https://www.themoscowtimes.com/2023/01/01/russias-new-year-raids-on-ukraine-kill-4-wound-dozens-a79861,2023-01-03 10:19:24.066719
Anger in Russia as scores of troops killed in one of Ukraine war's deadliest strikes,https://www.reuters.com/article/ukraine-crisis/anger-in-russia-as-scores-of-troops-killed-in-one-of-ukraine-wars-deadliest-strikes-idUSKBN2TH01I,2023-01-03 10:19:19.229699
Russians shell Sumy region’s community with mortars ,https://www.ukrinform.net/rubric-ato/3646058-russians-shell-sumy-regions-community-with-mortars.html,2023-01-04 10:19:37.691633
About 400 occupiers eliminated in Makiivka – StratCom,https://www.ukrinform.net/rubric-ato/3645029-about-400-occupiers-eliminated-in-makiivka-stratcom.html,2023-01-02 10:18:55.208111
Ukrainian missile falls on Belarusian territory — BelTA,https://tass.com/world/1557323,2023-01-04 10:19:42.381695
